PK_LOCALIDADE;region_name;region_code;city;country;state;zip_code
138aefa9c9e11d89c2ec4ca8999583c759089eaeb7ff1fb98e3c051e9d405b32;Central;4;Hazelwood;US;MO;63042
ef81351d7b6abaf6551f91e72bbd571d6f244352b331b74120ba7830a539c50d;Central;4;Wayne;US;MI;48184
98a0d6abc9144ec220ba5f0c1e4c857b443a2d1e2115b6756ef9c83c8eae178e;Western;1;Tigard;US;OR;97223
d1e5e68611e518eaec70ed26d6bae1505cda81cf9a7a8e8ecebdda662d11724e;Canada;0;Prince George;CA;BC;V2N 1V6
20edfd66f1d811aa1ce7212b388c40a6f235ec49a1e28dc7e75ae218a6820bd5;Western;1;North Highlands;US;CA;95660
18bab7614334163bfa76da9250c7d78c14348149408f9ad64cfafbfa3118e8ce;Central;4;Livonia;US;MI;48151
43b5ba4742dc30ad7ffa1f708e288b33963cf0c9e411b40fd4d73ad48a3306f1;Canada;0;Toronto;CA;ON;M3J 2E5
3dec213c34900473a15711746559dd6f00f443f6de78a86a1c76e6c52f12afb0;International;5;Schiphol-Rijk;IR;Não informado;0
f1dcf887e828fb4c4e2e10e01e042ebc49f31b0953bd87f95d90ad904f11950a;International;5;SE-132 28 Saltsjo-Boo;AU;Não informado;0
5f31baa8a1d7f1eb13ea71353f51c1eb33918074302f7d7292d31ea2977de52d;Central;4;New Hampton;US;IA;50659
acb2b2331c0d35546130bdea158efab2773cbe7657df34ea9720a4fb5d058bf9;Southern;2;Springhill;US;LA;71075
13cb71f9c35daf1d0676621bc30f5d839ef04a3ccce75710d8536ec16c1178c7;Central;4;Dearborn;US;MI;48121
6186e7f17ddb59539cd7c295b5e9d1f2bf2b097d7fda54a4a8ff85e7f6c15bbc;International;5;Kanagawa;AU;Não informado;249-0008
39449b8336b4c82066861c355f12ff252eb57afe0d86dd0f68ec8eda810b69c4;Canada;0;Edmonton;CA;AB;T6E 4N6
9c934a6ddd27d5bf401e880e60a274c2151dae86e77b9895689e65d67cdcbca1;Central;4;Rapid City;US;SD;57709
efc7b4f8e28cee3a06bf03930c776cb1ff506a1dbea29769a8f9a410eedcdb0e;Western;1;Salt Lake City;US;UT;84115
af2cb808fa92ea1fdadeed3b8672369c7ef6e9df9ffee64d0fa6568e8efdc79b;Northeast;3;Medford;US;MA;2155
f263332eb1b0840ae1eed7850971be1ea36e6684f26623fcccdbdcb602964116;International;5;A 5102 Anthering;UK;Não informado;0
f1d384ce7da7d153c372157ba6d0f504411ce179435b45767a86bfcb05b15606;Western;1;Stockton;US;CA;95205
42869b3ef3d31440e079f79c6e8f32f2ec1765f452c531f9b82b6b445089cef3;International;5;Valencia;UK;Não informado;0
4de6187a09d1f0ad4155e212797cc406c8834099d14120f5bc3787da05d380f5;Central;4;Des Moines;US;IA;50316
670d81409e774a4c884b7fbc849b180e085f00aa763a7618526d908f9cc9f63c;Northeast;3;East Providence;US;RI;2914
cec936eaff6272c9dd346d13435fec9914e7d7999c69d011e7333f1c2a0881aa;Central;4;Bedford;US;OH;44146
eb8be23b1b0b555e5384bbd7d490efcb9041cff2c8be23c51a17480a6aa37d7a;Western;1;Medford;US;OR;97501
cd907ad644ed18591fd3281f724c964cf4ad287e9efbb7c3a0ab41a3f1de88af;Northeast;3;Pittsburgh;US;PA;15238
ef0697d9d4250c0f8d9236a359e4715b6d06939a1ad3358128556dba2d89f0be;Central;4;Highland;US;IL;62249
4ee60e1bf752784fa460f442d1b8920b2333ba4201cc6c17f22eb8f992fd25b6;Western;1;Van Nuys;US;CA;91406
13a758c9f47c6a59bb8ba11f7833b23993362de55e11af66521770a94d7bbf7d;International;5;2215 TC Voorhout;IR;Não informado;0
50e00dceb8474a63e0ba56399c61590414ed503d9d9a5e80a498a0ee5e2331b2;Southern;2;Creedmoor;US;NC;27522
01f5e192e018205cadb7eda4303f52d11cfdc110036b25a162c0ac3d422a5506;Western;1;Phoenix;US;AZ;85036-1502
a7f7ad324e5cb9077d483db7e45e74386610182914b1881f1f9ba43930035f39;Central;4;Depere;US;WI;54115
2200df3505b16074411e5d30b86493e67a5fd2f4d18e278bee97ad3a1eae390e;Canada;0;Saskatoon;CA;SK;S7K 3S4
c1b61947f05b7a10bc0d752b60f0de176426f1cee13e56286f11d60d4a2a2c6b;Northeast;3;Philadelphia;US;PA;19132
d3ab218b013fa4c342662256249909363ced298cf75ebeaaf4353203b7e9ad4c;International;5;Santa Cruz;UK;Não informado;0
708d65b7bcf0bec8af9389e322d830177736405a20e6fd12d79f0b7f9920baf6;Central;4;Andover;US;SD;57422-8811
b130aa4686b49183154acbe2b61d9073b6138c32d9ebe219e1d6298e507bb711;Southern;2;Charlotte;US;NC;28236
0623704a74ca97edd42f5b737e7e0bf89a26e8802a666d6e3798cde4b47bf48d;Southern;2;Buda;US;TX;78610
e75ea36fe137b4e3201470e2cb5af493ce400208ad3546a504c9d98d4f46758d;Southern;2;Memphis;US;TN;38133
d78e022b877f9aa98a6f88b4f0800eaa02a1dbf3a522e6592004d74d64972f80;Western;1;Corona;US;CA;91720
a3a502608cd0a7eed6dba7a94ab24bffdf15da98bef3fa075084b9289f1027ba;Central;4;Indianopolis;US;IN;46222
407778e47f95bff7832fff071dea38862f5d7e0440f0e55b12b0a881e0a3b25f;Canada;0;Boucherville;CA;QU;J4B 2X3
483087eda8c9aac66678e0919b76544e100c63bd923cb53dff6f2311c7157476;Central;4;Warren;US;MI;48091-2991
53592e5b2759bb3b0971a2d4f63543777d86ef8de71c0b1439e67af0e5e9428b;Southern;2;Lake Hamilton;US;FL;33851
cdb00af7ed74ff4df77f9f8502b04f76f6703d2041523522810e0e730e741fde;Central;4;Hamel;US;MN;55340-0700
371561af32e1ee20f22399366fbded5f0d5bc8fba07e628724354949ecf74106;Southern;2;Holden;US;LA;70744
404dbab45ad912359a1016362b33544c813c6bb45ec834c6d2517bb16c42261c;Southern;2;Tulsa;US;OK;74101-3445
ff6582f57d3e133e3093b9ec1433d1efc102c29f8f6a6c17fdf248b79ce92d49;Northeast;3;Buffalo;US;NY;14206
9ea61030ca4050c9001b45056f4b6ec2fab314813d3bbfd526a2cb74332eb7b3;Northeast;3;Elma;US;NY;14059
cbe4f5253585982bcbab1946aad10c9c4e2d5aac9642c1b5415ffefd91cbe9b3;Western;1;Fresno;US;CA;93725
20b9dcb372416ae0b30a3c50908b60a8129f2c95f091c5c2461c86b91d21bf59;International;5;Beirut;AU;Não informado;0
f5fe1da4225b0aacd6b3273b129ea28144acf3e78978372ec26b411ea1824315;Western;1;Sparks;US;NV;89431
2bdaf1b45e28d30f01e32edfccb6bd4e89b5867410c7605cb7b6b1be65ae4e5b;Central;4;Traverse City;US;MI;49685
ace0904ba748f4cd395547c7b64095baa3f8b0dace5478ca7404918906fd4825;Western;1;Costa Mesa;US;CA;92626-5555
c196b26c2e38ea506bf702c88211bb833835dc05620b327d798bcf7c249fe271;Central;4;Appleton;US;WI;54913
241648d12e2872bdeeea3960b809bbff4c874b3e3d80abe02902a4db08e73386;Southern;2;Jasper;US;TX;75951
14422a46f077c60c159b006ea1aa5b1b556f4b78ee0ee5d1e34d740d407fc116;Western;1;Breckenridge;US;CO;80424
b0d97039668358ce64272f2832f534de4151dba8b6a50710d8bcdc1e7fb58394;Southern;2;Calhoun;US;LA;71225-0547
5e145a509aef3411ec7bb53038fcd7c129210c31d485156c59848426049182b8;Western;1;Boise;US;ID;83716
92338bf9f975494a3a38169bc1700c27dfd6dd0d8dc7fa1407ad93e442ef0d0e;Southern;2;Whitehouse;US;TN;37188
dd545ee4a15334d0c759feb78e1399cd6775d0e44476f45ce6aec8f0ec889002;Southern;2;Villa Rica;US;GA;30180-0266
a337afedc62cf0ddd13d5935cd71abb23bd0174f0487c3d27154f282d9c9645a;International;5;Ruwi;IR;Não informado;0
d6303558826647cf5200ea62f53cd3a7f5d2e0ecd7764435cff6ff9e75a9a0d7;Central;4;Springfield;US;MO;65898
