PK_TEMPO;invoice_date;Ano;Mes;Dia
a152057eafbf65def94669a9347039237a1925da12bd6b0cf77f71727e67e79c;13/05/2017;2017;05;13
fdc337618c8cf5ba20a01751ab4e41a35b1ab8d3b9378dc695acb1de59ad7a4d;12/02/2019;2019;02;12
72d401c3b19dd2328fe8a9fbc10f9683d275143f8928e08bdf33896f739fe67d;25/06/2017;2017;06;25
3e2ecf33358c49903c15b45d4259db7e39398667ad0329a09cd0975974d88eb2;04/08/2017;2017;08;04
78b36fdca5e4bdca47b330cd50a9f9bc964034b2bb4db7cbdb213ae60701e247;09/12/2017;2017;12;09
7d32e204707e240152229dabfd8cf271e5dd09d59c34ad9ce7a1a797470d9743;18/02/2018;2018;02;18
fa9fca11500541b4cdaaee4d0b7c628dc762ceaae0a8fd30cf9201e1a997d7a9;03/01/2018;2018;01;03
f6d4889e218dbe18c0686206bc0ce433775376d961e6322804fb262fc27001a1;20/05/2017;2017;05;20
a55491eccac260c5bc5c254d36b79c1b9bd8044dc9efaba75c602c67b2699b50;03/02/2017;2017;02;03
42f1b964e6ff7c921517c74a398db57ba3848a04bd3956af6b5a494e958dbe1f;10/01/2019;2019;01;10
474ab23e021d9842b686e2d9c2b17057c38cc8126198dface5d75eb53124d060;04/02/2017;2017;02;04
dbf8dead70bab600ed7aa5e6e93c49d62edebb9a76ecbd64cad3a8d9e12138aa;16/09/2017;2017;09;16
54c67b81e64fc145278787615d1fdd813119129e7b75d718a00e6d7fce7e2f5b;09/12/2018;2018;12;09
083ef837629dbe1b314e3f4066817eeeecf7f43dfdeb80e34678e445d8c117c0;26/02/2019;2019;02;26
3506bffd7fafd990f1df5b0af768ddcbcbce09b018024e986bf4046cac6b50ed;26/05/2017;2017;05;26
f5e09fa96eaf8307d87deef0ff61f176e67242b5834d72a539206256038b9000;15/09/2018;2018;09;15
f3557551faab94488ff22f4834fb0b982cda59b920c86fa7e55e58c4eaf1fa17;09/09/2017;2017;09;09
3c59232e39707ad04a97dd44cfdd471147c407f471941ff056a27b379f64ce9f;05/03/2019;2019;03;05
329ad6ed5e2c880f80ed29bdeb72045ca4d1b3c89e874c48ab71d4282c94eab0;10/10/2018;2018;10;10
4cc5448d722c1deabac420a9daa070789ddb6d5b63c6d9f43137a10ebd00b3dc;10/02/2019;2019;02;10
66e38990155691633153d2a18b493d31f4bee5923f1af322b799dc322adbab0c;07/03/2018;2018;03;07
6837c6d80a68d532f050bee43b791f96851daab008308d5532639b6a5d83aaf2;12/11/2017;2017;11;12
66ee23cfff86c84bf8156232c9c801e220a577622cfafc3ad4f2796c72083d75;24/04/2018;2018;04;24
296c6942f3ee1db0bb0c836c0c2de3e72f05d44c0ffd6ef87884fe481544b6d6;07/10/2017;2017;10;07
0e72282df5e24d6110b6c82fca23c59b697d2e04ab2400f7cde7b60764a70523;19/04/2017;2017;04;19
a1ccc18ef13770e56b8d865fe194e0e0a55ece9e0824c52d021e6d5233ac102a;27/04/2017;2017;04;27
de67f674b28bfdbd3af55b6134229b4c508989ce71f951a0f53de9c44d4b501b;27/01/2017;2017;01;27
043dd865720fdf236e46a63dce81428d627000a35b3d44221cc1c8733058f0d4;25/02/2019;2019;02;25
d06ec4c3ca9f812a549a0ef65a9458b379f2e8e7ff032c5a12dcac2c7db7db9a;07/04/2017;2017;04;07
9fc9a70608030e135933f5a256b3ea10ab2e7cac14fa0c9ed2a6813047b8e85b;25/09/2018;2018;09;25
04b771b1c6a9a0113056c1c1cec8d831e0db5b645c1c35431000b8ccc7b844f0;15/12/2018;2018;12;15
107686d742ddea6eb23581ce0e71a150dc79ef4e5c5800f43795cfc8702a2e5f;01/07/2017;2017;07;01
427b0388aa9d12a9b5a1919398dcdbb3b4f9adefe41e71abbf8b751fbfa9e45e;23/07/2018;2018;07;23
f336ce9a6a7590aebc5dd23d6c748875b495b6b3fc02326662104b518ec41979;14/10/2017;2017;10;14
bc3eae7d89af957c8c5005b492b7c793473db68d23ca0843cbe8d3036e1a1c54;06/02/2019;2019;02;06
0b365e408c24e1f724ba35b4a187ca76df4604d628e210f91585147d2eabe044;30/09/2018;2018;09;30
090edfaf3305a56822269fd3ffbdde1e412fb89aabcbd75d5d815c2d94f4465e;02/04/2018;2018;04;02
49e8aba1e3c8da02547aaa21ab2f0f7461007f3d1e05666ddcaee191c70e53aa;02/07/2018;2018;07;02
9e24c44568c54afefbd617caf9d8c6eab75788ddf1969cd93f1534c7747d9187;29/10/2017;2017;10;29
13cbd771dc0779d15e5f79a3e469599bf64cf89141ddd462202f793af2a347bb;16/12/2018;2018;12;16
ff4ca2e3dde8931f60aef42b6347887d041717c815bb963841438cc6bf2d352c;19/02/2019;2019;02;19
f72aa31b48154dae1379a55a5d084e9c01c62989aa32b22860a482fb75ca8c62;22/06/2017;2017;06;22
500d857c81a10ffd3de58c566d7f33d409dace5ca5dea3a60eca50c9fe3a7528;12/05/2017;2017;05;12
797210c90a6788567922e8f0f44b692bba8060307c2dc224931e9d6fb6acfbaf;16/01/2018;2018;01;16
9a4e58d2bde236d804d883a8f394556bbf1d0ec8e08f3150705657f076d0f981;05/08/2017;2017;08;05
12c0b2878b9d28227688ae56d28d393e2bafb9653b51dc0409ffa6f8d46747b7;18/02/2017;2017;02;18
