PK_CLIENTES;PK_LOCALIDADE;PK_TEMPO;sales_amount;sales_quantity
6ad6fbeb4ac63469618e13fb79ad108f4fae2be84399b9ef15f78c2d0a7a7eb8;b5750d6ebc7ee9181cc65fe9a86ad0b619bffdee4a51b535f57a8e2004b9d9c5;78b36fdca5e4bdca47b330cd50a9f9bc964034b2bb4db7cbdb213ae60701e247;10087,12;33.0
5deffcaedfcb30e3714556336e2b5a04f407a946da5f0c74b154ca2c63dcdc79;b4bd83bea8c7d7956163ed01bbd973e2afa41142f57b146651120c2204805a30;70d9a25a3ffc196d28b06fb9ea6daec883e9ea9212331032c520e6c1767fd3ea;15833,49;88.0
5ce2a4c413dd05e70d2b0ed7cf1e1e4ddb77f7f66b06755d3074fd800203042b;37718df49262d44acbe7d546da5c610a5e0bb534b90b4dc82646ca6215b171f6;49e8aba1e3c8da02547aaa21ab2f0f7461007f3d1e05666ddcaee191c70e53aa;979,06;4.0
6e3d6c3b97414cbb080eede8a8ade9d279d7eae210238bccb6f1485012d1db78;b4bd83bea8c7d7956163ed01bbd973e2afa41142f57b146651120c2204805a30;1df26c6dbbff4328a9fa45af9e79fc50178595dfd4050855d491cae119c2de18;354,88;3.0
9c07fac7c2844013b24e08fc02fe0b5b5519bd174efb680b1888eba998e2fa90;ad7b6dfb468724372a4356ba07a568274ee8d168539b5f4c0bcfdc8f2f9f7263;5aa2f808a7e8249682c3881a85d8181b9bfa2bf6daed3f6de56c07061ed2bf15;30320,79;155.0
c48c9b31f2009dbad3d855ac77bdd82313d197a6c428a603451fd0b18d864f1c;eb207fed0082b0d4a256a75be8582ecb84dce74a3a27b81c4fe3ecd2319cfe91;797210c90a6788567922e8f0f44b692bba8060307c2dc224931e9d6fb6acfbaf;790,27;2.0
5d45cf87a378c71b6bde93d85f5a62fe37b4ad25b37897554aeab2cef3284494;41a1216ef0d8eed3cf2715210a921a22bcd97a9184df4b988e395c3f84feec02;5703d273dc5507101d4191cee77203a023ad36f59ebe7104778c3ed61b24d44f;12399,69;62.0
669d105c92d8f813ce953a58842a81e1f09b7a4e9694affe69ffe047eff04d5b;521649f600a9a9f2a7ef52899bc2dce10a7b9f337c0e9989ac8e4e98b9ad5cb4;61e49df8e381785475dafe00328dddd0be51e1491b9d7f6fe6e71bda953b0178;3762,6;145.0
7bbc316e20b91b85a2fbbb7e7ca34efad2c4f68054973ccb5f9bf15931f51f2c;b4bd83bea8c7d7956163ed01bbd973e2afa41142f57b146651120c2204805a30;8eb0d5163320b40eef48a58e7e488332d941ffdf1bb13b0512adc683f0d07187;50152,95;136.0
c6e0ef9c8ee8347e22fab55332d6396f03c544aad47928f9a5d48aa2ccf197de;0ced93c86e30fd0b29e424ec5342d19cf0b7249a62cd901bb8b609219bae5be0;f5869ee34eac490539eff6ab27e5b85077afa92d2351f83118e9240ba61ae866;18797,44;382.0
